title,year,star_power,director,runtime,original_language,release_month,release_season,is_adaptation,n_cast
Whiplash,2014,4.252766666666667,Damien Chazelle,107.0,en,10.0,Fall,0,39
Ex Machina,2014,3.5443999999999996,Alex Garland,108.0,en,1.0,Winter,0,12
Lady Bird,2017,2.1368666666666667,Greta Gerwig,94.0,en,9.0,Fall,0,53
Moonlight,2016,1.005,Barry Jenkins,111.0,en,10.0,Fall,0,26
The Florida Project,2017,2.289433333333333,Sean Baker,112.0,en,10.0,Fall,0,45
Tangerine,2015,0.3592333333333333,Sean Baker,87.0,en,7.0,Summer,0,72
Eighth Grade,2018,1.3211,Bo Burnham,94.0,en,1.0,Winter,0,46
Saw,2004,1.688,James Wan,103.0,en,10.0,Fall,0,18
Open Water,2003,0.5039333333333333,Chris Kentis,80.0,en,8.0,Summer,0,6
Chronicle,2012,3.360666666666667,Josh Trank,84.0,en,2.0,Winter,0,39
District 9,2009,1.2349666666666665,Neill Blomkamp,112.0,en,8.0,Summer,0,96
Looper,2012,6.1286,Rian Johnson,118.0,en,9.0,Fall,0,42
Brick,2005,2.500833333333333,Rian Johnson,110.0,en,3.0,Spring,0,19
The Babadook,2014,0.8521333333333333,Jennifer Kent,94.0,en,5.0,Spring,0,36
A Ghost Story,2017,1.7787333333333333,David Lowery,93.0,en,4.0,Spring,0,73
Frances Ha,2012,1.2678,Noah Baumbach,86.0,en,5.0,Spring,0,48
500 Days of Summer,2009,3.1325333333333334,Marc Webb,95.0,en,7.0,Summer,0,64
Lost in Translation,2003,5.8816,Sofia Coppola,102.0,en,9.0,Fall,0,51
Garden State,2004,3.4138,Zach Braff,102.0,en,7.0,Summer,0,37
Booksmart,2019,1.4101,Olivia Wilde,102.0,en,5.0,Spring,0,28
Uncut Gems,2019,2.6774,Benny Safdie,136.0,en,8.0,Summer,0,84
Good Time,2017,2.1822666666666666,Benny Safdie,102.0,en,8.0,Summer,0,87
The Lobster,2015,4.426433333333333,Yorgos Lanthimos,119.0,en,10.0,Fall,0,41
Amelie,2001,1.3312666666666668,Jean-Pierre Jeunet,122.0,fr,4.0,Spring,0,74
Oldboy,2003,1.7066333333333334,Park Chan-wook,120.0,ko,11.0,Fall,0,53
Pan's Labyrinth,2006,1.3285,Guillermo del Toro,118.0,es,10.0,Fall,0,31
City of God,2002,0.7525666666666666,Fernando Meirelles,129.0,pt,8.0,Summer,1,150
Akira,1988,2.0766,Katsuhiro Otomo,124.0,ja,6.0,Summer,0,21
Princess Mononoke,1997,3.0279333333333334,Hayao Miyazaki,134.0,ja,7.0,Summer,0,24
Drive,2011,5.441633333333333,Nicolas Winding Refn,100.0,en,9.0,Fall,0,37
Burning,2018,1.9446,Lee Chang-dong,148.0,ko,5.0,Spring,1,22
A Separation,2011,0.9656333333333333,Asghar Farhadi,123.0,fa,2.0,Winter,0,13
Enter the Void,2009,0.47903333333333337,Gaspar Noé,161.0,en,5.0,Spring,0,17
Spring Breakers,2012,3.201033333333333,Harmony Korine,94.0,en,3.0,Spring,0,35
Nightcrawler,2014,3.5617,Dan Gilroy,118.0,en,10.0,Fall,0,43
Birdman,2014,5.0546,Alejandro G. Iñárritu,120.0,en,10.0,Fall,0,54
Her,2013,5.433733333333333,Spike Jonze,126.0,en,12.0,Winter,0,39
The Grand Budapest Hotel,2014,3.0884666666666667,Wes Anderson,100.0,en,2.0,Winter,0,98
Eternal Sunshine of the Spotless Mind,2004,5.644566666666667,Michel Gondry,108.0,en,3.0,Spring,0,19
There Will Be Blood,2007,2.1069666666666667,Paul Thomas Anderson,158.0,en,12.0,Winter,1,54
No Country for Old Men,2007,4.074033333333333,Joel Coen,122.0,en,11.0,Fall,1,52
Donnie Brasco,1997,4.270333333333333,Mike Newell,127.0,en,2.0,Winter,1,66
Gattaca,1997,3.9547000000000003,Andrew Niccol,107.0,en,7.0,Summer,0,39
Event Horizon,1997,3.0858666666666665,Paul W. S. Anderson,96.0,en,8.0,Summer,0,15
Dark City,1998,3.4682333333333335,Alex Proyas,101.0,en,2.0,Winter,0,39
The Fountain,2006,4.879033333333333,Darren Aronofsky,96.0,en,11.0,Fall,0,41
Sunshine,2007,5.613433333333333,Danny Boyle,108.0,en,4.0,Spring,0,14
Grindhouse,2007,2.7688,Quentin Tarantino,191.0,en,4.0,Spring,0,118
MacGruber,2010,2.4552333333333336,Jorma Taccone,90.0,en,5.0,Spring,0,56
Kung Fury,2015,0.7345333333333333,David Sandberg,32.0,en,5.0,Spring,0,26
