title,year,star_power,director,runtime,original_language,release_month,release_season,is_adaptation,n_cast
101 Dalmatians,1961,0.8013333333333333,Hamilton Luske,79.0,en,1.0,Winter,0,32
The Lion King (1994),1994,,,,,,,0,0
The Little Mermaid,1989,0.9648666666666667,Ron Clements,83.0,en,11.0,Fall,0,42
Beauty and the Beast (1991),1991,0.6078333333333333,Gary Trousdale,84.0,en,10.0,Fall,0,50
Aladdin,1992,1.9413999999999998,Ron Clements,91.0,en,11.0,Fall,0,24
Snow White and the Seven Dwarfs,1937,0.22776666666666667,David Hand,83.0,en,1.0,Winter,0,15
Cinderella,1950,0.6074666666666667,Hamilton Luske,74.0,en,2.0,Winter,1,23
Sleeping Beauty,1959,0.47256666666666663,Clyde Geronimi,75.0,en,2.0,Winter,0,12
Tangled,2010,1.9503333333333333,Byron Howard,100.0,en,11.0,Fall,0,36
Wreck-It Ralph,2012,2.2596000000000003,Rich Moore,101.0,en,11.0,Fall,1,66
Big Hero 6,2014,1.68,Chris Williams,102.0,en,10.0,Fall,1,47
Moana,2016,4.3783,John Musker,107.0,en,10.0,Fall,0,13
Zootopia,2016,4.321433333333333,Byron Howard,109.0,en,2.0,Winter,0,50
Raya and the Last Dragon,2021,2.3017,Don Hall,107.0,en,3.0,Spring,0,24
Turning Red,2022,1.2222,Domee Shi,100.0,en,3.0,Spring,0,66
Lightyear,2022,3.3026,Angus MacLane,105.0,en,6.0,Summer,0,33
Elemental,2023,0.6977000000000001,Peter Sohn,102.0,en,6.0,Summer,0,18
Wish,2023,2.6840999999999995,Fawn Veerasunthorn,95.0,en,11.0,Fall,0,22
Madagascar 3,2012,3.3815333333333335,Eric Darnell,93.0,en,6.0,Summer,0,25
Kung Fu Panda 3,2016,4.964200000000001,Jennifer Yuh Nelson,95.0,en,1.0,Winter,0,35
Rise of the Guardians,2012,3.4069333333333334,Peter Ramsey,97.0,en,11.0,Fall,0,20
The Croods,2013,6.845866666666666,Kirk DeMicco,99.0,en,3.0,Spring,0,8
The Croods: A New Age,2020,6.845866666666666,Joel Crawford,95.0,en,11.0,Fall,0,18
Megamind,2010,5.900166666666667,Tom McGrath,96.0,en,10.0,Fall,0,19
Trolls,2016,2.669,Mike Mitchell,92.0,en,10.0,Fall,0,33
Trolls World Tour,2020,2.2375333333333334,Walt Dohrn,91.0,en,3.0,Spring,0,41
Kung Fu Panda,2008,5.5154,Mark Osborne,90.0,en,6.0,Summer,0,26
Kung Fu Panda 2,2011,5.833233333333333,Jennifer Yuh Nelson,91.0,en,5.0,Spring,0,32
How to Train Your Dragon,2010,3.0610999999999997,Dean DeBlois,98.0,en,3.0,Spring,1,14
How to Train Your Dragon 2,2014,3.8600333333333334,Dean DeBlois,102.0,en,6.0,Summer,0,17
How to Train Your Dragon 3,2019,3.8600333333333334,Dean DeBlois,102.0,en,6.0,Summer,0,17
Madagascar,2005,3.3815333333333335,Eric Darnell,86.0,en,5.0,Spring,0,20
Madagascar 2,2008,3.3815333333333335,Tom McGrath,89.0,en,10.0,Fall,0,41
Despicable Me,2010,2.581166666666667,Pierre Coffin,95.0,en,7.0,Summer,0,32
Despicable Me 2,2013,3.064333333333334,Pierre Coffin,98.0,en,6.0,Summer,0,39
Despicable Me 3,2017,2.7907333333333333,Kyle Balda,90.0,en,6.0,Summer,0,40
The Secret Life of Pets,2016,2.1528666666666667,Chris Renaud,86.0,en,6.0,Summer,0,32
Sing,2016,4.582433333333333,Garth Jennings,108.0,en,11.0,Fall,0,61
Sing 2,2021,6.989033333333334,Garth Jennings,110.0,en,12.0,Winter,0,62
The Secret Life of Pets 2,2019,2.968033333333333,Chris Renaud,86.0,en,5.0,Spring,0,42
Hop,2011,3.0996666666666663,Tim Hill,95.0,en,3.0,Spring,0,21
Horton Hears a Who!,2008,3.5274666666666668,Jimmy Hayward,86.0,en,3.0,Spring,0,54
Ice Age,2002,2.7313666666666667,Chris Wedge,82.0,en,3.0,Spring,0,20
Ice Age: The Meltdown,2006,2.7313666666666667,Carlos Saldanha,91.0,en,3.0,Spring,0,70
Ice Age: Dawn of the Dinosaurs,2009,2.7313666666666667,Carlos Saldanha,94.0,en,6.0,Summer,0,49
Ice Age: Continental Drift,2012,2.7313666666666667,Steve Martino,88.0,en,6.0,Summer,0,60
Ice Age: Collision Course,2016,2.7313666666666667,Michael Thurmeier,95.0,en,6.0,Summer,0,41
Rio,2011,4.3505,Carlos Saldanha,96.0,en,4.0,Spring,0,70
Rio 2,2014,4.0906666666666665,Carlos Saldanha,101.0,en,3.0,Spring,0,71
Rango,2011,3.2711666666666663,Gore Verbinski,107.0,en,3.0,Spring,0,33
The Book of Life,2014,4.651666666666666,Jorge R. Gutierrez,95.0,en,10.0,Fall,0,61
Curious George,2006,3.4163,Matthew O'Callaghan,87.0,en,2.0,Winter,0,44
Charlotte's Web,2006,4.275433333333333,Gary Winick,97.0,en,12.0,Winter,1,45
Stuart Little,1999,2.8813,Rob Minkoff,84.0,en,12.0,Winter,1,31
Bumblebee,2018,5.202066666666666,Travis Knight,114.0,en,11.0,Fall,0,56
Transformers,2007,3.507233333333333,Michael Bay,144.0,en,6.0,Summer,0,93
Transformers: Revenge of the Fallen,2009,3.5605666666666664,Michael Bay,150.0,en,6.0,Summer,0,83
Transformers: Dark of the Moon,2011,2.439166666666667,Michael Bay,154.0,en,6.0,Summer,0,105
Transformers: Age of Extinction,2014,3.5841666666666665,Michael Bay,165.0,en,6.0,Summer,0,71
Transformers: The Last Knight,2017,3.133033333333333,Michael Bay,154.0,en,6.0,Summer,0,88
Guardians of the Galaxy,2014,5.1744666666666665,James Gunn,121.0,en,7.0,Summer,1,74
Guardians of the Galaxy Vol. 2,2017,5.2377666666666665,James Gunn,137.0,en,4.0,Spring,1,59
Guardians of the Galaxy Vol. 3,2023,5.2377666666666665,James Gunn,150.0,en,5.0,Spring,1,89
Thor,2011,5.392566666666667,Kenneth Branagh,115.0,en,4.0,Spring,1,56
Thor: The Dark World,2013,5.392566666666667,Alan Taylor,112.0,en,10.0,Fall,1,49
Thor: Ragnarok,2017,4.777633333333333,Taika Waititi,131.0,en,10.0,Fall,1,55
Iron Man,2008,4.304533333333333,Jon Favreau,126.0,en,4.0,Spring,1,65
Iron Man 2,2010,3.8794,Jon Favreau,124.0,en,4.0,Spring,1,86
Captain America: The First Avenger,2011,4.466033333333333,Joe Johnston,124.0,en,7.0,Summer,1,98
Captain America: The Winter Soldier,2014,7.700866666666666,Joe Russo,136.0,en,3.0,Spring,1,75
Ant-Man,2015,3.525033333333333,Peyton Reed,117.0,en,7.0,Summer,1,70
