title,year,n_quotes_measured,circ_sum,circ_top3,circ_max
101 Dalmatians,1961,4.0,10.098889848868613,7.773540128608531,10.016860879703811
47 Ronin,2013,4.0,8.626764827845529,6.6053520309365465,8.493105395887147
500 Days of Summer,2009,4.0,8.196436811235028,6.730542574915361,7.719129840906732
A Bug's Life,1998,4.0,16.937977283437135,9.794526352402109,16.937875526504495
A Clockwork Orange,1971,4.0,9.462576597493666,7.861247860881669,9.036106025364846
A Ghost Story,2017,4.0,7.7702232041587855,4.119238632891554,7.762596048540069
A Separation,2011,4.0,11.253934504509804,5.669537914407612,11.252871529635922
Akira,1988,4.0,9.33846969968671,6.008300082743009,9.170663554823284
Aladdin,1992,4.0,11.323216689742257,5.595202956999642,11.321777065973317
Amelie,2001,4.0,8.644178203170727,7.351087594026317,8.000014093678072
American Psycho,2000,4.0,10.506737377491612,9.00168051013336,10.047631185616188
Amsterdam,2022,3.0,4.430816798843313,3.2149919524613755,3.6635616461296463
Annihilation,2018,4.0,6.487684018484611,4.580297536546987,5.820082930352362
Ant-Man,2015,4.0,6.878326468291325,3.9379062363781405,6.823286122355687
Apollo 13,1995,4.0,15.179464213590771,9.513161045672922,15.179048187715992
Aquaman,2018,4.0,13.278633523860242,8.01016851502172,13.277657974137664
Avatar,2009,4.0,18.997338871299423,11.841094440623452,18.997294113874336
Avatar: The Way of Water,2022,4.0,11.711464799787016,9.060583698336233,11.661354090741
Avengers: Age of Ultron,2015,4.0,12.874932256458772,11.584915853803366,12.35017731849889
Avengers: Endgame,2019,4.0,13.192823704984052,12.006439913300435,12.328294703023396
Avengers: Infinity War,2018,4.0,12.544724647592751,10.882913101245256,12.160033942617156
Babylon,2022,4.0,7.537962659768208,5.989236723032512,6.80128303447162
Barbie,2023,4.0,11.26345077190963,9.045283610101292,11.167628403875849
Batman Begins,2005,4.0,12.274623419306332,6.478193957851523,12.273735966890268
Batman v Superman: Dawn of Justice,2016,4.0,7.309212365692763,6.083639125984423,6.773080375655535
Battlefield Earth,2000,4.0,6.493753839851687,4.964389044929889,6.20050917404269
Beauty and the Beast (1991),1991,4.0,8.600798775271034,6.520512888695247,8.036249942132116
Beauty and the Beast (2017),2017,4.0,15.4889246459493,8.560726433601547,15.488861983759271
Ben-Hur,2016,4.0,9.665039989962045,8.170872751531885,8.881975184248867
Big Hero 6,2014,4.0,14.492503457910383,10.882853682477494,14.48334044336031
Birdman,2014,4.0,9.642447411030767,7.273922310810929,9.503084610020228
Black Panther: Wakanda Forever,2022,4.0,7.10085190894405,5.002046576899531,6.665683717782408
Black Widow,2021,4.0,9.27771860730613,7.9421673175789715,8.472405008626103
